"id";"codigo_ug";"nome_ug";"date_from";"date_to";"version"
172;160156;"44 BATALHAO DE INFANTARIA MOTORIZADO";"1970-01-01";"2038-01-01";1
173;160184;"10o ESQD C MEC- CONTROLE PATRIMONIAL E CUSTOS";"1970-01-01";"2038-01-01";1
174;160236;"2a COMPANHIA DE INFANTARIA";"1970-01-01";"2038-01-01";1
175;160268;"2 CIRCUNSCRICAO DE SERVICO MILITAR";"1970-01-01";"2038-01-01";1
176;160366;"13 GRUPO DE ARTILHARIA DE CAMPANHA";"1970-01-01";"2038-01-01";1
177;160488;"COMANDO DA 2  REGIAO MILITAR";"1970-01-01";"2038-01-01";1
178;160526;"3 COMPANHIA DE ENGENHARIA DE COMB. MECANIZADO";"1970-01-01";"2038-01-01";1
179;160528;"BASE ADMINISTRATIVA DO C COM G EX";"1970-01-01";"2038-01-01";1
180;170052;"DELEGACIA DA RFB EM JOAO PESSOA";"1970-01-01";"2038-01-01";1
181;170138;"DELEGACIA DA RFB EM RIBEIRAO PRETO";"1970-01-01";"2038-01-01";1
182;170178;"DELEGACIA DA RFB EM CAXIAS DO SUL";"1970-01-01";"2038-01-01";1
183;170262;"DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"1970-01-01";"2038-01-01";1
184;193110;"IBAMA - SUPERINTENDENCIA DO MARANHAO/MA";"1970-01-01";"2038-01-01";1
185;200229;"UNIVERSIDADE DA POLICIA RODOVIARIA FEDERAL";"1970-01-01";"2038-01-01";1
186;250015;"SUPERINTENDENCIA ESTADUAL DO MS/AM";"1970-01-01";"2038-01-01";1
187;323016;"SUPERINTENDENCIA DO DNPM-RN";"1970-01-01";"2038-01-01";1
188;495370;"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"1970-01-01";"2038-01-01";1
189;510907;"GERENCIA EXECUTIVA CAXIAS DO SUL";"1970-01-01";"2038-01-01";1
190;765741;"LABORATORIO FARMACEUTICO DA MARINHA";"1970-01-01";"2038-01-01";1
191;781333;"DELEGACIA DA CAPITANIA DOS PORTOS EM MACAE";"1970-01-01";"2038-01-01";1
192;135030;"EMBRAPA/CNPSA";"1970-01-01";"2038-01-01";1
193;153149;"INSTITUTO DE PSIQUIATRIA DA UFRJ";"1970-01-01";"2038-01-01";1
194;154049;"FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS";"1970-01-01";"2038-01-01";1
195;158009;"INST. FED. DO PARANA/ REITORIA";"1970-01-01";"2038-01-01";1
196;160070;"DEPARTAMENTO-GERAL DO PESSOAL";"1970-01-01";"2038-01-01";1
197;200360;"SUPERINTENDENCIA REGIONAL NO ESTADO DE SP";"1970-01-01";"2038-01-01";1
198;245209;"CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVAN";"1970-01-01";"2038-01-01";1
199;250042;"HOSPITAL FEDERAL DE BONSUCESSO";"1970-01-01";"2038-01-01";1
200;257042;"DISTRITO SANIT.ESP.INDIGENA - ALTAMIRA";"1970-01-01";"2038-01-01";1
201;443043;"ICMBIO GR1 NORTE";"1970-01-01";"2038-01-01";1
202;250106;"HOSPITAL FEDERAL DO ANDARAI";"1970-01-01";"2038-01-01";1
203;510921;"GERENCIA EXECUTIVA CANOAS";"1970-01-01";"2038-01-01";1
204;158197;"CENTRO DE FORMACAO DE PROFESSORES DA UFCG";"1970-01-01";"2038-01-01";1
205;158289;"INST.FED.DO MARANHAO/CAMPUS ZE DOCA";"1970-01-01";"2038-01-01";1
206;158301;"CENTRO DE CIENCIAS E TECNOLOGIA AGROALIMENTAR";"1970-01-01";"2038-01-01";1
207;158427;"INST.FED. ESPIRITO SANTO/CAMPUS VILA VELHA";"1970-01-01";"2038-01-01";1
208;158507;"INST.FED.DO PARA/CAMPUS ALTAMIRA";"1970-01-01";"2038-01-01";1
209;160098;"BASE ADMINISTRATIVA DO CMDO DE OP ESPECIAIS";"1970-01-01";"2038-01-01";1
210;160118;"COMANDO DA 4a REGIAO MILITAR";"1970-01-01";"2038-01-01";1
211;160202;"3o BATALHAO DE ENGENHARIA DE CONSTRUCAO";"1970-01-01";"2038-01-01";1
212;160223;"HOSPITAL GERAL DE CURITIBA";"1970-01-01";"2038-01-01";1
213;193118;"IBAMA - SUPERINTENDENCIA DO PARANA/PR";"1970-01-01";"2038-01-01";1
214;193129;"IBAMA - SUPERINTENDENCIA DE SAO PAULO/SP";"1970-01-01";"2038-01-01";1
215;194042;"COORD. REG. RIBEIRAO CASCALHEIRA/MT";"1970-01-01";"2038-01-01";1
216;200111;"SUPERINTENDENCIA REG. POL. RODV. FEDERAL-PA";"1970-01-01";"2038-01-01";1
217;240124;"MUSEU DE ASTRONOMIA E CIENCIAS AFINS";"1970-01-01";"2038-01-01";1
218;250039;"SUPERINTENDENCIA ESTADUAL DO MS/TO";"1970-01-01";"2038-01-01";1
219;343005;"SUPERINTENDENCIA DO IPHAN PERNAMBUCO,IPHAN-PE";"1970-01-01";"2038-01-01";1
220;373062;"SUPERINT. REG. DO RIO DE JANEIRO - SR(RJ)";"1970-01-01";"2038-01-01";1
221;510630;"GERENCIA EXECUTIVA PALMAS";"1970-01-01";"2038-01-01";1
222;510695;"GERENCIA EXECUTIVA MARINGA";"1970-01-01";"2038-01-01";1
223;925150;"TELECOMUNICACOES BRASILEIRAS S.A.";"1970-01-01";"2038-01-01";1
224;135024;"EMBRAPA/CPPSE";"1970-01-01";"2038-01-01";1
225;152004;"INSTITUTO BENJAMIN CONSTANT-RJ";"1970-01-01";"2038-01-01";1
226;158135;"INST.FED.DE EDUC.,CIENC.E TEC.DO PARA";"1970-01-01";"2038-01-01";1
227;158361;"INST. FED. PIAUI/CAMPUS SAO RAIMUNDO NONATO";"1970-01-01";"2038-01-01";1
228;158513;"INST.FED. MINAS GERAIS/CAMPUS FORMIGA";"1970-01-01";"2038-01-01";1
229;160024;"COMANDO DE FRONTEIRA SOLIMOES/8 BIS";"1970-01-01";"2038-01-01";1
230;160082;"PREFEITURA MILITAR DE BRASILIA";"1970-01-01";"2038-01-01";1
231;160158;"COMANDO 13  BDA DE INFANTARIA MOTORIZADA";"1970-01-01";"2038-01-01";1
232;160182;"7a CIA COM - CONTROLE PATRIMONIAL E CUSTOS";"1970-01-01";"2038-01-01";1
233;160209;"COMANDO 15 BRIGADA DE INFANTARIA MECANIZADA";"1970-01-01";"2038-01-01";1
234;160246;"DEPOSITO CENTRAL DE MUNICAO";"1970-01-01";"2038-01-01";1
235;160545;"HOSPITAL DE GUARN. DE S. GABRIEL DA CACHOEIRA";"1970-01-01";"2038-01-01";1
236;170078;"SUPERINTENDENCIA REGIONAL DA RFB NA 5A RF";"1970-01-01";"2038-01-01";1
237;250021;"SUPERINTENDENCIA ESTADUAL DO MS/GO";"1970-01-01";"2038-01-01";1
238;255003;"FUNDACAO NACIONAL DE SAUDE - AP";"1970-01-01";"2038-01-01";1
239;373030;"SUPERINT. REG.DO NORDESTE DO PARA - SR(PA/NE)";"1970-01-01";"2038-01-01";1
240;380940;"SUPERINTENDENCIA REGIONAL DO TRABALHO/MS";"1970-01-01";"2038-01-01";1
241;413011;"AGENCIA NACIONAL DE TELECOMUNICACOES-PA";"1970-01-01";"2038-01-01";1
242;764100;"SERVICO DE IDENTIFICACAO DA MARINHA";"1970-01-01";"2038-01-01";1
243;791800;"BASE NAVAL DO RIO DE JANEIRO";"1970-01-01";"2038-01-01";1
244;153152;"HOSPITAL UNIVERSITARIO DA UFRJ";"1970-01-01";"2038-01-01";1
245;158310;"INST.FED.TRIANGULO MINEIRO/CAMPUS UBERABA";"1970-01-01";"2038-01-01";1
246;193111;"IBAMA - SUPERINTENDENCIA DE MINAS GERAIS/MG";"1970-01-01";"2038-01-01";1
247;200364;"SUPERINTENDENCIA REGIONAL NO ESTADO DO PR";"1970-01-01";"2038-01-01";1
248;925135;"BANCO CENTRAL DO BRASIL - RECIFE";"1970-01-01";"2038-01-01";1
249;113203;"COMISSAO NACIONAL DE ENERGIA NUCLEAR-IEN";"1970-01-01";"2038-01-01";1
250;120623;"GRUPAMENTO DE APOIO DOS AFONSOS";"1970-01-01";"2038-01-01";1
251;135285;"CONAB SEDE SUREG PERNAMBUCO";"1970-01-01";"2038-01-01";1
252;155851;"INST. FED. FLUMINENSE/CAMPUS QUISSAMA";"1970-01-01";"2038-01-01";1
253;158369;"INST.FED.DO RN/CAMPUS NATAL - CENTRAL";"1970-01-01";"2038-01-01";1
254;158417;"INST.FED. ESPIRITO SANTO/CAMPUS SERRA";"1970-01-01";"2038-01-01";1
255;160047;"COMANDO 10a REGIAO MILITAR";"1970-01-01";"2038-01-01";1
256;160353;"6 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"1970-01-01";"2038-01-01";1
257;160440;"23 BATALHAO DE INFANTARIA";"1970-01-01";"2038-01-01";1
258;160443;"63 BATALHAO DE INFANTARIA";"1970-01-01";"2038-01-01";1
259;170182;"ALFANDEGA DA RFB PORTO DE RIO GRANDE";"1970-01-01";"2038-01-01";1
260;343030;"CENTRO NACIONAL DE FOLCLORE E CULTURA POPULAR";"1970-01-01";"2038-01-01";1
261;740002;"COORD-GERAL PROG. DESENV. SUBMAR. NUCLEAR";"1970-01-01";"2038-01-01";1
262;910847;"ELETROBRAS TERMONUCLEAR S/A";"1970-01-01";"2038-01-01";1
263;110245;"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"1970-01-01";"2038-01-01";1
264;130022;"SUPERINT.DE AGRICULTURA E PECUARIA - SFA/CE";"1970-01-01";"2038-01-01";1
265;153296;"INSTITUTO DE CIENCIAS AGRARIAS/UFMG";"1970-01-01";"2038-01-01";1
266;155014;"HOSPITAL UNIVERSITARIO ANA BEZERRA";"1970-01-01";"2038-01-01";1
267;158220;"HOSPITAL ESCOLA SAO FRANCISCO DE ASSIS";"1970-01-01";"2038-01-01";1
268;158278;"INST.FED.S.PERNAMB./CAMPUS PETROLINA Z.RURAL";"1970-01-01";"2038-01-01";1
